PID,Season,contestant,ChW,ChA,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Finish,Time,nonVFB,VFB%,nVFB%,NoJ,InRCA,InRCW,InICA,InICW,InChA,InChW,InChW%,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,TrCh 2nd,TrCh 3rd,Exile,TVA,VAT%,NI VFT,NI VFT%,Sex,Birthday,Day 1 Filming date,Age,,VVp,VAPi
15,1,B.B. Andersen,0.25,0.39,0.64,0,0,6,8,1,-0.75,0.00,0,0,7,0,-0.11,0.25,6,15,1,1,0.00,1.00,0.25,0,0,0,0,0,0,#DIV/0!,1,1,2,1,3,2,0.667,0,0,0,1,1.00,0,0.00,M,1/18/1936,3/13/2000,64.2,,,6
16,1,Sonja Christopher,0.00,0.13,0.00,0,0,4,8,1,-0.50,0.00,0,0,7,0,-0.50,0.00,3,16,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,F,1/28/1937,3/13/2000,63.1,,,4
131,10,Tom Westman,6.66,13.60,0.49,4,6,0,43,7,0.86,6.00,7,6,7,0.86,2.20,17.81,39,1,1,1,0.86,0.14,12.66,2,0,8,5,10,5,0.50,8,4,7,4,15,8,0.533,0,0,0,0,0.00,2,1.00,M,1/4/1964,11/1/2004,40.8,,,0
132,10,Katie Gallagher,1.00,13.60,0.07,7,7,1,43,7,1.00,5.60,5,1,7,0.14,1.21,7.46,39,2,1,0,1.00,0.00,6.60,2,0,8,0,10,0,0.00,8,2,7,3,15,5,0.333,0,0,0,2,0.29,5,0.71,F,5/28/1975,11/1/2004,29.4,,,1
133,10,Ian Rosenberger,5.50,13.60,0.40,5,6,4,43,7,0.85,3.00,4,0,7,0,1.25,8.50,38,3,1,1,0.86,0.14,8.50,2,1,8,3,10,4,0.40,8,3,7,4,15,7,0.467,0,0,0,3,0.43,0,0.00,M,8/24/1981,11/1/2004,23.2,,,4
134,10,Jenn Lyon,1.19,12.60,0.09,6,4,3,40,6,0.65,3.11,5,0,7,0,0.75,4.30,37,4,1,2,0.67,0.33,4.30,2,0,7,0,9,0,0.00,8,1,7,5,15,6,0.400,0,0,0,1,0.17,5,0.83,F,2/27/1972,11/1/2004,32.7,,,3
135,10,Caryn Groedel,1.30,11.60,0.11,6,4,7,36,5,0.76,2.04,2,0,7,0,0.87,3.33,36,5,1,1,0.80,0.20,3.33,2,0,6,0,8,0,0.00,8,3,7,4,15,7,0.467,0,0,0,3,0.60,2,0.40,F,8/13/1958,11/1/2004,46.2,,,7
136,10,Gregg Carey,3.00,9.60,0.31,3,3,4,31,4,0.72,2.63,3,0,7,0,1.03,5.62,33,6,1,1,0.75,0.25,5.62,1,1,5,0,6,1,0.17,8,4,7,5,15,9,0.600,0,0,0,1,0.25,2,0.50,M,1/9/1977,11/1/2004,27.8,,,4
137,10,Stephenie LaGrossa,0.52,7.60,0.07,0,6,8,58,9,0.65,1.56,6,0,7,0,0.72,2.07,30,7,1,3,0.67,0.33,2.07,0,0,4,0,4,0,0.00,8,3,7,0,15,3,0.200,0,0,0,3,0.33,6,0.67,F,12/6/1979,11/1/2004,24.9,,,8
138,10,Janu Tornell*,1.24,6.60,0.19,7,1,9,26,3,0.22,0.72,1,0,7,0,0.41,1.95,27,8,1,2,0.33,0.67,1.95,0,0,3,0,3,0,0.00,8,1,7,5,15,6,0.400,0,0,1,2,0.67,1,0.33,F,,11/1/2004,39,,,9
139,10,Coby Archa,1.58,5.35,0.30,4,1,7,18,2,0.31,1.27,1,0,7,0,0.60,2.85,24,9,1,1,0.50,0.50,2.85,0,0,2,0,2,0,0.00,7,1,7,6,14,7,0.500,0,0,0,1,0.50,1,0.50,M,9/8/1972,11/1/2004,32.1,,,7
140,10,Bobby Jon Drinkard,0.52,4.35,0.12,0,5,2,42,7,0.71,3.33,6,0,7,0,0.83,3.85,21,10,1,2,0.71,0.29,3.85,0,0,1,0,1,0,0.00,7,3,7,0,14,3,0.214,0,0,0,1,0.14,6,0.86,M,5/10/1977,11/1/2004,27.5,,,2
141,10,Ibrehem Rahman,0.52,3.35,0.15,0,3,4,42,7,0.41,1.50,5,0,7,0,0.57,2.02,15,11,1,4,0.43,0.57,2.02,0,0,1,0,1,0,0.00,5,3,5,0,10,3,0.300,0,0,0,2,0.29,5,0.71,M,3/4/1977,11/1/2004,27.7,,,4
142,10,James Miller,0.52,2.68,0.19,0,4,5,39,6,0.65,2.07,2,0,7,0,0.84,2.59,15,12,1,2,0.67,0.33,2.59,0,0,1,0,1,0,0.00,5,3,5,0,10,3,0.300,0,0,0,4,0.67,2,0.33,M,7/8/1971,11/1/2004,33.3,,,5
143,10,Angie Jakusz,0.27,2.18,0.12,0,4,5,35,5,0.77,2.49,3,0,7,0,0.89,2.76,12,13,1,1,0.80,0.20,2.76,0,0,1,0,1,0,0.00,4,2,4,0,8,2,0.250,0,0,0,2,0.40,3,0.60,F,3/27/1980,11/1/2004,24.6,,,5
144,10,Willard Smith,0.55,2.18,0.25,4,0,8,9,1,-0.89,0.00,0,0,7,0,-0.64,0.55,12,14,1,1,0.00,1.00,0.55,0,0,1,0,1,0,0.00,4,1,4,3,8,4,0.500,0,0,0,1,1.00,0,0.00,M,11/30/1947,11/1/2004,56.9,,,8
145,10,Kim Mullen,0.27,1.98,0.14,0,3,8,30,4,0.68,1.75,1,0,7,0,0.82,2.02,11,15,1,1,0.75,0.25,2.02,0,0,1,0,1,0,0.00,3,2,4,0,7,2,0.286,0,0,0,3,0.75,1,0.25,F,3/13/1979,11/1/2004,25.6,,,8
146,10,Jeff Wilson,0.27,1.65,0.16,0,2,5,24,3,0.60,2.07,1,0,7,0,0.76,2.34,8,16,1,1,0.67,0.33,2.34,0,0,1,0,1,0,0.00,2,2,3,0,5,2,0.400,0,0,0,2,0.67,1,0.33,M,2/9/1983,11/1/2004,21.7,,,5
147,10,Ashlee Ashby,0.13,1.36,0.09,0,1,6,17,2,0.32,1.40,1,0,7,0,0.42,1.53,6,17,1,1,0.50,0.50,1.53,0,0,1,0,1,0,0.00,1,1,2,0,3,1,0.333,0,0,0,1,0.50,1,0.50,F,5/2/1982,11/1/2004,22.5,,,6
148,10,Jolanda Jones,1.00,1.11,0.90,0,0,6,9,1,-0.67,0.00,0,0,7,0,0.23,1.00,3,18,1,1,0.00,1.00,1.00,0,0,1,1,1,1,1.00,0,0,1,0,1,0,0.000,0,0,0,1,1.00,-1,#DIV/0!,F,11/6/1965,11/1/2004,39.0,,,6
149,10,Wanda Shirk,0.00,1.00,0.00,0,0,0,0,0,0.00,#DIV/0!,0,0,7,0,0.00,#DIV/0!,2,19,1,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,1,0,1,0,0.00,0,0,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,#DIV/0!,F,8/24/1949,11/1/2004,55.2,,,0
150,10,Jonathan Libby,0.00,1.00,0.00,0,0,0,0,0,0.00,#DIV/0!,0,0,7,0,0.00,#DIV/0!,2,20,1,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,1,0,1,0,0.00,0,0,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,#DIV/0!,M,9/5/1981,11/1/2004,23.2,,,0
151,11,Danni Boatwright,3.35,12.97,0.258,0,10,1,79,12,0.83,4.67,11,6,7,0.86,1.95,13.16,39,1,1,2,0.83,0.17,8.01,3,0,8,2,11,2,0.18,7,6,6,3,13,9,0.692,0,0,0,1,0.08,9,0.90,F,7/13/1975,6/27/2005,30.0,,,1
137,11,Stephenie LaGrossa,1.87,13.97,0.134,1,12,2,84,12,1.00,4.67,10,1,7,0.14,1.27,7.39,39,2,2,0,1.00,0.00,6.54,3,0,9,1,12,1,0.08,7,2,6,3,13,5,0.385,0,0,0,2,0.17,9,0.82,F,12/6/1979,6/27/2005,25.6,,,2
152,11,Rafe Judkins,4.62,13.97,0.331,1,11,2,84,12,0.91,4.28,10,0,7,0,1.25,8.90,38,3,1,1,0.92,0.08,8.90,3,0,9,4,12,4,0.33,7,1,6,3,13,4,0.308,0,0,0,2,0.17,6,0.75,M,1/8/1983,6/27/2005,22.5,,,2
153,11,Lydia Morales,0.25,12.97,0.020,4,10,10,81,11,0.90,1.82,6,0,7,0,0.92,2.07,37,4,1,1,0.91,0.09,2.07,3,0,8,0,11,0,0.00,7,0,6,2,13,2,0.154,0,0,0,5,0.45,6,0.55,F,1/19/1963,6/27/2005,42.4,,,10
154,11,Cindy Hall,3.12,11.97,0.261,0,6,6,69,9,0.66,1.87,6,0,7,0,0.92,4.99,36,5,1,3,0.67,0.33,4.99,3,2,7,0,10,2,0.20,7,4,6,4,13,8,0.615,0,0,0,3,0.33,4,0.44,F,,6/27/2005,105.5,,,6
155,11,Judd Sergeant,2.37,9.97,0.238,1,6,5,64,8,0.74,2.33,6,0,7,0,0.98,4.70,33,6,1,2,0.75,0.25,4.70,2,1,6,0,8,1,0.13,7,5,6,4,13,9,0.692,0,0,0,2,0.25,5,0.63,M,,6/27/2005,105.5,,,5
156,11,Gary Hogeboom,1.85,7.97,0.232,0,6,8,69,9,0.65,1.56,7,0,7,0,0.89,3.40,30,7,1,3,0.67,0.33,3.40,2,0,4,1,6,1,0.17,7,3,6,2,13,5,0.385,0,0,0,2,0.22,6,0.75,M,8/21/1958,6/27/2005,46.9,,,8
157,11,Jamie Newton,1.62,6.97,0.233,1,6,10,59,7,0.83,1.71,5,0,7,0,1.07,3.33,27,8,1,1,0.86,0.14,3.33,1,0,4,1,5,1,0.20,7,1,6,3,13,4,0.308,0,0,0,2,0.29,4,0.67,M,,6/27/2005,105.5,,,10
140,11,Bobby Jon Drinkard,1.10,4.72,0.233,0,4,8,46,6,0.64,1.56,3,0,7,0,0.87,2.65,24,9,2,2,0.67,0.33,2.65,1,0,2,0,3,0,0.00,6,5,6,3,12,8,0.667,0,0,0,3,0.50,3,0.50,M,5/10/1977,6/27/2005,28.1,,,8
158,11,Brandon Bellinger,1.10,2.72,0.404,0,3,6,37,5,0.57,1.68,4,0,7,0,0.97,2.78,21,10,1,2,0.60,0.40,2.78,0,0,1,0,1,0,0.00,6,5,6,3,12,8,0.667,0,0,0,1,0.20,4,0.80,M,1/22/1983,6/27/2005,22.4,,,6
159,11,Amy O'Hara,0.60,1.72,0.348,1,4,4,35,5,0.78,2.80,4,0,7,0,1.12,3.40,18,11,1,1,0.80,0.20,3.40,0,0,0,0,0,0,#DIV/0!,6,2,6,2,12,4,0.333,0,0,0,1,0.20,4,0.80,F,11/2/1965,6/27/2005,39.6,,,4
160,11,Brian Corridan,0.40,1.32,0.301,0,3,7,30,4,0.69,1.91,2,0,7,0,0.99,2.31,15,12,1,1,0.75,0.25,2.31,0,0,0,0,0,0,#DIV/0!,5,1,5,2,10,3,0.300,0,0,0,2,0.50,2,0.50,M,2/10/1983,6/27/2005,22.4,,,7
161,11,Margaret Bobonich,0.92,2.32,0.397,0,1,7,24,3,0.24,0.85,1,0,7,0,0.63,1.77,15,13,1,2,0.33,0.67,1.77,0,0,1,0,1,0,0.00,5,4,5,3,10,7,0.700,0,0,0,2,0.67,1,0.33,F,,6/27/2005,105.5,,,7
162,11,Blake Towsley,0.90,1.15,0.779,0,1,5,16,2,0.34,1.56,1,0,7,0,1.12,2.45,14,14,1,1,0.50,0.50,2.45,0,0,0,0,0,0,#DIV/0!,4,4,5,3,9,7,0.778,0,0,0,1,0.50,1,0.50,M,5/5/1981,6/27/2005,24.1,,,5
163,11,Brooke Struck,0.61,0.87,0.706,0,1,5,17,2,0.35,1.56,1,0,7,0,1.06,2.17,11,15,1,1,0.50,0.50,2.17,0,0,0,0,0,0,#DIV/0!,3,3,4,2,7,5,0.714,0,0,0,1,0.50,1,0.50,F,7/30/1979,6/27/2005,25.9,,,5
164,11,Brianna Varela,0.11,0.72,0.154,1,1,7,17,2,0.29,1.27,1,0,7,0,0.45,1.38,8,16,1,1,0.50,0.50,1.38,0,0,0,0,0,0,#DIV/0!,3,0,3,1,6,1,0.167,0,0,0,1,0.50,1,0.50,F,10/29/1983,6/27/2005,21.7,,,7
165,11,Morgan McDevitt,0.11,0.47,0.235,0,0,8,9,1,-0.89,0.00,0,0,7,0,-0.65,0.11,6,17,1,1,0.00,1.00,0.11,0,0,0,0,0,0,#DIV/0!,2,0,2,1,4,1,0.250,0,0,0,1,1.00,0,0.00,F,11/24/1983,6/27/2005,21.6,,,8
166,11,Jim Lynch,0.11,0.22,0.500,0,0,8,9,1,-0.89,0.00,0,0,7,0,-0.39,0.11,3,18,1,1,0.00,1.00,0.11,0,0,0,0,0,0,#DIV/0!,1,1,1,0,2,1,0.500,0,0,0,1,1.00,0,0.00,M,1/7/1942,6/27/2005,63.5,,,8
167,12,Aras Baskauskas,3.27,14.67,0.223,0,7,9,59,9,0.76,1.68,3,5,7,0.71,1.70,9.23,39,1,1,2,0.78,0.22,4.95,4,1,7,1,11,2,0.18,7,3,6,3,13,6,0.462,0,1,4,6,0.67,1,0.13,M,,,,,,9
168,12,Danielle DiLorenzo,2.26,14.67,0.154,2,9,4,59,9,0.99,3.50,6,2,7,0.29,1.43,7.47,39,2,1,0,1.00,0.00,5.76,4.5,0,7,1,11.5,1,0.09,7,2,6,4,13,6,0.462,0,0,6,3,0.33,5,0.63,F,,,,,,4
169,12,Terry Deitz,9.34,14.67,0.636,0,4,1,62,10,0.40,2.24,9,0,7,0,1.03,11.58,38,3,1,6,0.40,0.60,11.58,4.5,2.5,7,5,11.5,7.5,0.65,7,4,6,2,13,6,0.462,1,0,8,1,0.10,2,0.30,M,10/10/1959,,,,,1
170,12,Cirie Fields,1.71,12.67,0.135,3,7,3,60,9,0.77,3.11,7,0,7,0,0.91,4.82,36,4,1,2,0.78,0.22,4.82,3,1,6,0,9,1,0.11,7,1,6,3,13,4,0.308,0,0,0,2,0.22,6,0.67,F,,,,,,3
171,12,Shane Powers,1.00,10.67,0.094,1,4,9,52,7,0.55,1.23,4,0,7,0,0.64,2.23,33,5,1,3,0.57,0.43,2.23,2,0,5,0,7,0,0.00,7,2,6,3,13,5,0.385,1,0,0,3,0.43,4,0.57,M,,,,,,9
172,12,Courtney Marit,1.31,8.67,0.151,3,5,4,47,6,0.82,2.92,4,0,7,0,0.97,4.23,30,6,1,1,0.83,0.17,4.23,1,0,4,0,5,0,0.00,7,3,6,3,13,6,0.462,0,0,0,2,0.33,4,0.67,F,,,,,,4
173,12,Bruce Kanegai*,1.58,7.34,0.22,2,3,9,41,5,0.56,1.29,3,0,7,0,0.77,2.88,25,7,1,2,0.60,0.40,2.88,1,0,3,0,4,0,0.00,5,4,5,3,10,7,0.700,1,0,4,2,0.40,3,0.60,M,,,,,,9
174,12,Sally Schumann,1.46,6.34,0.231,0,1,8,40,5,0.16,0.47,3,0,7,0,0.39,1.93,24,8,1,4,0.20,0.80,1.93,0,0,3,0,3,0,0.00,6,4,6,3,12,7,0.583,0,0,1,2,0.40,3,0.60,F,,,,,,8
175,12,Austin Carty,1.19,5.09,0.234,0,3,7,36,5,0.56,1.53,3,0,7,0,0.80,2.72,21,9,1,2,0.60,0.40,2.72,0.5,0,2,0,2.5,0,0.00,5,2,6,2,11,4,0.364,0,1,2,2,0.40,3,0.60,M,,,,,,7
176,12,Nick Stanbury,0.69,3.75,0.184,0,3,6,27,4,0.69,2.10,3,0,7,0,0.88,2.79,18,10,1,1,0.75,0.25,2.79,0,0,1,0,1,0,0.00,4,2,6,2,10,4,0.400,0,1,0,1,0.25,3,0.75,M,,,,,,6
177,12,Dan Barry,0.75,2.75,0.274,0,1,3,17,3,0.27,1.33,2,0,7,0,0.55,2.09,15,11,1,2,0.33,0.67,2.09,0,0,0,0,0,0,#DIV/0!,4,2,6,2,10,4,0.400,1,0,0,1,0.33,2,0.67,M,,,,,,3
178,12,BobDawg Mason,0.57,2.55,0.224,1,1,3,14,2,0.39,2.00,1,0,7,0,0.62,2.57,14,12,1,1,0.50,0.50,2.57,0,0,0,0,0,0,#DIV/0!,4,2,5,1,9,3,0.333,0,1,0,1,0.50,1,0.50,M,,,,,,3
179,12,Ruth-Marie Milliman,0.68,2.15,0.315,0,2,6,17,3,0.55,1.87,1,0,7,0,0.86,2.55,11,13,1,1,0.67,0.33,2.55,0.5,0,0,0,0.5,0,0.00,3,2,4,1,7,3,0.429,0,0,0,2,0.67,1,0.33,F,,,,,,6
180,12,Misty Giles,0.68,1.82,0.373,0,0,5,7,1,-0.71,0.00,0,0,7,0,-0.34,0.68,8,14,1,1,0.00,1.00,0.68,0,0,0,0,0,0,#DIV/0!,2,2,3,2,5,4,0.800,0,0,2,1,1.00,0,0.00,F,,,,,,5
181,12,Melinda Hyder,0.00,1.54,0.000,0,1,5,11,2,0.27,1.56,1,0,7,0,0.27,1.56,6,15,1,1,0.50,0.50,1.56,0,0,0,0,0,0,#DIV/0!,1,0,2,0,3,0,0.000,0,0,0,1,0.50,1,0.50,F,,,,,,5
182,12,Tina Scheer,0.00,1.25,0.000,0,0,3,4,1,-0.75,0.00,0,0,7,0,-0.75,0.00,3,16,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,F,,,,,,3
183,13,Yul Kwon,2.42,10.57,0.229,0,9,5,62,9,0.99,3.11,6,5,9,0.56,1.78,8.86,39,1,1,0,1.00,0.00,5.53,2,0,6,0,8,0,0.00,6,5,8,6,14,11,0.786,0,0,1,3,0.33,6,0.67,M,2/14/1975,6/26/2006,31.4,,,5
184,13,Ozzy Lusth,7.82,10.57,0.740,0,8,1,67,10,0.80,4.48,9,4,9,0.44,1.98,14.96,39,2,1,2,0.80,0.20,12.30,2,1,6,5,8,6,0.75,6,5,8,4,14,9,0.643,1,0,0,1,0.10,3,0.60,M,8/23/1981,6/26/2006,24.8,,,1
185,13,Becky Lee,2.17,10.57,0.205,0,9,5,62,9,0.99,3.11,7,0,9,0,1.20,5.28,39,3,1,0,1.00,0.00,5.28,2,0,6,0,8,0,0.00,6,5,8,6,14,11,0.786,0,0,0,2,0.22,7,0.78,F,9/11/1977,6/26/2006,28.8,,,5
186,13,Sundra Oakley,1.58,10.57,0.150,1,8,6,67,10,0.79,2.24,7,0,9,0,0.94,3.82,38,4,1,2,0.80,0.20,3.82,2,0,6,0,8,0,0.00,6,4,8,4,14,8,0.571,0,1,0,3,0.30,7,0.70,F,1/2/1975,6/26/2006,31.5,,,6
187,13,Adam Gentry,1.45,9.57,0.152,3,7,5,79,11,0.63,1.98,9,0,9,0,0.78,3.43,37,5,1,4,0.64,0.36,3.43,2,0,5,1,7,1,0.14,6,1,8,2,14,3,0.214,0,1,5,2,0.18,8,0.80,M,8/21/1978,6/26/2006,27.8,,,5
188,13,Parvati Shallow,2.20,8.57,0.257,2,7,4,74,10,0.69,2.45,9,0,9,0,0.95,4.65,36,6,1,3,0.70,0.30,4.65,2,1,4,0,6,1,0.17,6,1,8,3,14,4,0.286,0,1,0,1,0.10,8,0.80,F,9/21/1982,6/26/2006,23.8,,,4
189,13,Jonathan Penner,1.02,6.57,0.155,2,8,15,68,9,0.86,1.31,2,0,9,0,1.02,2.33,33,7,1,1,0.89,0.11,2.33,1,0,3,0,4,0,0.00,6,3,8,3,14,6,0.429,0,1,5,7,0.78,2,0.22,M,3/5/1962,6/26/2006,44.3,,,15
190,13,Candice Woodcock,1.02,4.57,0.223,2,5,6,53,7,0.70,2.00,5,0,9,0,0.92,3.02,30,8,1,2,0.71,0.29,3.02,0,0,2,0,2,0,0.00,6,3,8,3,14,6,0.429,0,1,5,2,0.29,5,0.71,F,11/12/1982,6/26/2006,23.6,,,6
191,13,Nate Gonzalez,0.47,3.57,0.130,3,3,5,52,7,0.41,1.33,6,0,9,0,0.55,1.80,27,9,1,4,0.43,0.57,1.80,0,0,1,0,1,0,0.00,6,1,8,2,14,3,0.214,0,1,0,1,0.14,6,0.86,M,7/26/1980,6/26/2006,25.9,,,5
192,13,Jenny Guzon-Bae,0.60,2.57,0.234,3,5,6,44,6,0.81,2.33,4,0,9,0,1.05,2.94,24,10,1,1,0.83,0.17,2.94,0,0,0,0,0,0,#DIV/0!,6,1,8,4,14,5,0.357,0,0,0,2,0.33,4,0.67,F,5/8/1970,6/26/2006,36.1,,,6
193,13,Rebecca Borman,0.47,2.57,0.181,2,5,6,43,6,0.81,2.33,5,0,9,0,0.99,2.80,24,11,1,1,0.83,0.17,2.80,0,0,0,0,0,0,#DIV/0!,6,1,8,2,14,3,0.214,0,1,0,1,0.17,5,0.83,F,8/31/1971,6/26/2006,34.8,,,6
194,13,Brad Virata,0.85,2.07,0.412,1,2,7,31,4,0.44,1.27,3,0,9,0,0.86,2.13,21,12,1,2,0.50,0.50,2.13,0,0,0,0,0,0,#DIV/0!,5,1,7,4,12,5,0.417,0,0,0,1,0.25,3,0.75,M,11/23/1976,6/26/2006,29.6,,,7
195,13,Jessica 'Flica' Smith,0.82,1.57,0.521,1,1,6,23,3,0.25,0.93,2,0,9,0,0.77,1.75,18,13,1,2,0.33,0.67,1.75,0,0,0,0,0,0,#DIV/0!,4,2,6,3,10,5,0.500,0,1,0,1,0.33,2,0.67,F,1/22/1979,6/26/2006,27.4,,,6
196,13,Cristina Coria,0.34,1.20,0.279,1,3,5,28,4,0.71,2.33,2,0,9,0,0.98,2.67,15,14,1,1,0.75,0.25,2.67,0,0,0,0,0,0,#DIV/0!,3,1,5,1,8,2,0.250,1,0,0,2,0.50,2,0.50,F,4/18/1971,6/26/2006,35.2,,,5
197,13,Anh-Tuan 'Cao Boi' Bui,0.83,1.20,0.685,1,1,6,16,2,0.31,1.40,1,0,9,0,1.00,2.23,15,15,1,1,0.50,0.50,2.23,0,0,0,0,0,0,#DIV/0!,3,1,5,4,8,5,0.625,0,0,0,1,0.50,1,0.50,M,4/10/1964,6/26/2006,42.2,,,6
198,13,Stephannie Favor,0.30,1.06,0.281,1,2,9,22,3,0.53,1.44,1,0,9,0,0.81,1.73,14,16,1,1,0.67,0.33,1.73,0,0,0,0,0,0,#DIV/0!,2,1,5,1,7,2,0.286,0,1,0,2,0.67,1,0.33,F,7/12/1970,6/26/2006,36.0,,,9
199,13,J.P. Calderon,0.21,0.81,0.260,1,1,7,14,2,0.25,1.27,1,0,9,0,0.51,1.48,11,17,1,1,0.50,0.50,1.48,0,0,0,0,0,0,#DIV/0!,1,0,4,1,5,1,0.200,1,0,0,1,0.50,1,0.50,M,,6/26/2006,106.5,,,7
200,13,Cecilia Mansilla,0.10,0.56,0.178,0,1,6,13,2,0.27,1.40,1,0,9,0,0.45,1.50,8,18,1,1,0.50,0.50,1.50,0,0,0,0,0,0,#DIV/0!,0,0,3,0,3,0,0.000,1,0,0,1,0.50,1,0.50,F,1/13/1977,6/26/2006,29.4,,,6
