,contestant,Fake_contestant,PID,Fake_PID,Sex,Fake_Sex
59,Courtney Marit,Mr Howard Smith,172,ATWH87673088676872,F,Sex 2
60,Bruce Kanegai*,Dr Yvonne Taylor,173,BULL12281108476761,M,Sex 1
61,Sally Schumann,Damian Williams,174,QJWC41794141937804,F,Sex 2
62,Austin Carty,Kieran Page,175,SCTD81389554552983,M,Sex 1
63,Nick Stanbury,Gary O'Donnell,176,MQUH37817306082005,M,Sex 1
64,Dan Barry,Angela Duncan,177,FNKY09146123134951,M,Sex 1
65,BobDawg Mason,Guy Holden,178,KFWC91638416323615,M,Sex 1
66,Ruth-Marie Milliman,Nicholas Osborne,179,YZFX73031432363024,F,Sex 2
67,Misty Giles,Dr Scott Chapman,180,MOWF65479353728394,F,Sex 2
68,Melinda Hyder,Mrs Irene Bond,181,UYFN63843741455017,F,Sex 2
69,Tina Scheer,Mr Duncan Pollard,182,NDVP11734587502711,F,Sex 2
70,Yul Kwon,Mr Samuel Cartwright,183,MHPU90450850694255,M,Sex 1
71,Ozzy Lusth,Eric Stone,184,DWLC46820871953365,M,Sex 1
72,Becky Lee,Dr Georgia Shaw,185,HGNF13697585169458,F,Sex 2
73,Sundra Oakley,Brandon Brown,186,NVBJ40465759342083,F,Sex 2
74,Adam Gentry,Mr Julian Norton,187,IHNZ34970736753801,M,Sex 1
75,Parvati Shallow,Stacey Thomas,188,DRDG12020830356998,F,Sex 2
76,Jonathan Penner,Pamela Alexander,189,SJTY56828791775712,M,Sex 1
77,Candice Woodcock,Molly Thorpe-Hayes,190,BXIK64211082380421,F,Sex 2
78,Nate Gonzalez,Lucy Thompson,191,WSUV04243577124572,M,Sex 1
79,Jenny Guzon-Bae,Melissa Wilson,192,SYAS09543611597997,F,Sex 2
80,Rebecca Borman,Charlotte Hughes-O'Brien,193,PDZY12385716690081,F,Sex 2
81,Brad Virata,Alison Peacock,194,YOGW89736431513814,M,Sex 1
82,Jessica 'Flica' Smith,Kayleigh Moore,195,ISKD67097592664143,F,Sex 2
83,Cristina Coria,Dr Stephanie Holt,196,XESA19138000848635,F,Sex 2
84,Anh-Tuan 'Cao Boi' Bui,Sara Spencer,197,DBGT28302725355285,M,Sex 1
85,Stephannie Favor,Dale White,198,ODFI38582213105916,F,Sex 2
86,J.P. Calderon,Karl Smith,199,ZLZU84273457408479,M,Sex 1
87,Cecilia Mansilla,Joseph Smith,200,IJSZ33209949698963,F,Sex 2
88,Billy Garcia,Mrs Lauren Butler,201,NSVK82710140925539,M,Sex 1
89,Sekou Bunch,Jamie Payne,202,ZXSM67100919200981,M,Sex 1
90,Earl Cole,Mr Stephen Todd,203,JNTJ85443363753516,M,Sex 1
91,Cassandra Franklin,Dr Lynda Thomas,204,NEKP25310514858759,F,Sex 2
92,Dreamz Herd,Leonard Sutton,205,UAOP84334658823643,M,Sex 1
93,Yau-Man Chan,Samuel Savage,206,VUPU33843086963837,M,Sex 1
94,Boo Bernis,Mrs Clare Holland,207,FQBX67933351747122,M,Sex 1
95,Stacy Kimball,Julie Hall,208,ZCKO05479322162916,F,Sex 2
96,Alex Angarita,Alison Owen,209,CXCP93773387883032,M,Sex 1
97,Mookie Lee,Mr Rhys Watts,210,JRWE29139688771168,M,Sex 1
98,Edgardo Rivera,Julian Williamson-Jones,211,GACV00480388252950,M,Sex 1
99,Michelle Yi,Miss Angela Bird,212,YQZX61512963518996,F,Sex 2
100,Lisi Linares,Mohammed Wright-McLean,213,QSLZ10184410797444,F,Sex 2
101,Rocky Reid,Jonathan Carr,214,PLHH79129068619603,M,Sex 1
102,Anthony Robinson,Ryan Taylor,215,JYLE29004441930563,M,Sex 1
103,Rita Verreos,Darren Turner-Short,216,HDUW90855280968131,F,Sex 2
104,Liliana Gomez,Keith Osborne,217,BCEK17436078844739,F,Sex 2
105,Gary Stritesky*,Neil Humphreys-West,218,DBOU23469308354935,M,Sex 1
106,Sylvia Kwan,Owen Cole,219,IUYX98746305314035,F,Sex 2
107,Erica Durousseau,Jean Mitchell,220,NYQH82041780756790,F,Sex 2
108,Jessica DeBen,Dr Joan Wilkins,221,KJZJ77394227957937,F,Sex 2
109,Todd Herzog,Dr Suzanne Kelly,222,ZPIN65951777795776,M,Sex 1
110,Courtney Yates,Emma Richards,223,UBOF52144321900075,F,Sex 2
111,Amanda Kimmel,Stanley Hayward,224,AEQV27714303597561,F,Sex 2
112,Denise Martin,Mr Bernard Smith,225,MYTP42883565969696,F,Sex 2
113,Peih-Gee Law,Hayley Spencer-Murray,226,PEMP09965075314167,F,Sex 2
114,Erik Huffman,Roy Wright,227,JOWE58462485111709,M,Sex 1
115,James Clement,Tracey Mason,228,BUZR06608787143489,M,Sex 1
116,Frosti Zernow,Mr Callum Walsh,229,DEYD40824808856718,M,Sex 1
117,Jean-Robert Bellande,Lisa Shah,230,XTCI79342649967376,M,Sex 1
118,Jaime Dugan,Judith Green,231,YWCM25898833967642,F,Sex 2
119,Sherea Lloyd,Suzanne Parker,232,CYGG95591904495866,F,Sex 2
120,Aaron Reisberger,Ms Emily Ahmed,233,VPXK57538794139788,M,Sex 1
121,Dave Cruser,Henry Foster,234,DNGF45166377362964,M,Sex 1
122,Leslie Nease,Dr Julian Parsons,235,HLLZ98033523843683,F,Sex 2
123,Ashley Massaro,Miss Janet Griffin,236,XLAT98680350191725,F,Sex 2
124,Chicken Morris,Carly George,237,AKMP92281696447872,M,Sex 1
125,Parvati Shallow,Stacey Thomas,188,DRDG12020830356998,F,Sex 2
126,Amanda Kimmel,Stanley Hayward,224,AEQV27714303597561,F,Sex 2
127,Cirie Fields,Naomi Cole,170,VOXB12697567069851,F,Sex 2
128,Natalie Bolton,Stacey Williams,238,LCRA92555531157839,F,Sex 2
129,Erik Reichenbach,Louise Fowler,239,FIAZ07490575256435,M,Sex 1
130,Alexis Jones,Owen Cooper,240,UKMO16372066874716,F,Sex 2
131,James Clement*,Jean Porter,228,BUZR06608787143489,M,Sex 1
132,Jason Siska,Dr Michael Wilson,241,WYMF24976332095226,M,Sex 1
133,Ozzy Lusth,Eric Stone,184,DWLC46820871953365,M,Sex 1
134,Eliza Orlins,Gail Naylor-Wilson,116,FOXR64343484749296,F,Sex 2
135,Ami Cusack,Derek Harrison-Harvey,118,RKXX83379467348876,F,Sex 2
136,Tracy Hughes-Wolf,Samantha Nicholson,242,HSTF88327318003240,F,Sex 2
137,Kathy Sleckman*,Graham Bailey-Walsh,243,ZBJC54801640837832,F,Sex 2
138,Chet Welch,Mr Max Thompson,244,WBRS98867312931681,M,Sex 1
139,Jonathan Penner*,Alexander Miller-Cross,189,SJTY56828791775712,M,Sex 1
140,Joel Anderson,Miss Kate Wood,245,QDGQ66249737156980,M,Sex 1
141,Mikey B' Bortone,Sandra Bennett,246,GNDQ05490391986986,M,Sex 1
142,Yau-Man Chan,Samuel Savage,206,VUPU33843086963837,M,Sex 1
143,Mary Sartain,Stephen Howard,247,ZFRU33401825373842,F,Sex 2
144,Jonny Fairplay,Holly Davis,99,HNXX87719132492767,M,Sex 1
145,Bob Crowley,Jamie Wilkinson,248,IJAT31390159061369,M,Sex 1
146,Susie Smith,Hilary Richardson,249,DYYL47018878288825,F,Sex 2
147,Sugar' Kiper,Miss Gail Hill,250,DNWU83310590984834,F,Sex 2
148,Matty Whitmore,Ms Gemma Price,251,KCCR92077365476741,M,Sex 1
149,Ken Hoang,Maureen Ellis,252,RXST56509956430449,M,Sex 1
150,Crystal Cox,Clare Porter,253,CBYR62030535001606,F,Sex 2
151,Corinne Kaplan,Charlie Long,254,DKZB01451962360806,F,Sex 2
152,Randy Bailey,Leon Whitehead-Taylor,255,PXWS97604035376714,M,Sex 1
153,Charlie Herschel,Mr Nicholas Bradley,256,HAHF77100864469250,M,Sex 1
154,Marcus Lehman,Mrs Janet O'Neill,257,BLWU82925869990038,M,Sex 1
155,Dan Kay,Gary Bennett,258,DAUN16160396537258,M,Sex 1
156,Ace Gordon,Dawn Holland-Banks,259,DNUM46713202321731,M,Sex 1
157,Kelly Czarnecki,Ashleigh Austin,260,BRJJ68952937231261,F,Sex 2
158,Danny 'GC' Brown,Emily Cook,261,ZNUS52250963615300,M,Sex 1
159,Jacquie Berg,Jordan Smith,262,PSPK95900348737001,F,Sex 2
160,Paloma Soto-Castillo,Edward Adams,263,JIYU60129389478310,F,Sex 2
161,Gillian Larson,Julian Riley,264,OPIK90640304605578,F,Sex 2
162,Michelle Chase,Karen Robinson,265,CUZJ31972294330520,F,Sex 2
163,J.T. Thomas,Billy Bradley,266,EWSL00032352532946,M,Sex 1
164,Stephen Fishbach,Mr Dale Hodgson,267,GWSR22428624611122,M,Sex 1
165,Erinn Lobdell,Hayley Lucas,268,VIEW36402511955491,F,Sex 2
166,Taj' Johnson-George,Paula Evans-Shaw,269,EELG17856421606489,F,Sex 2
167,Coach Wade,Dr Garry Kirk,270,YIZC44441267382700,M,Sex 1
168,Debbie Beebe,Lynne Ellis,271,AMEG75723935536669,F,Sex 2
169,Sierra Reed,Jennifer Taylor,272,GGIY65588616154706,F,Sex 2
170,Tyson Apostol,Amanda Goodwin,273,DNIQ75337037627640,M,Sex 1
171,Brendan Synnott,Donald Hussain-White,274,DFUS31354450930917,M,Sex 1
172,Joe Dowdle*,Gerald Clayton,275,VYVR59318260141022,M,Sex 1
173,Sydney Wheeler,Dr Clifford Edwards,276,JUOG26850677980942,F,Sex 2
174,Spencer Duhm,Ms Gemma Davies,277,CFEU36840505558898,M,Sex 1
175,Sandy Burgin,Jake Morgan,278,XLTS67044496048878,F,Sex 2
176,Jerry Sims,George Cox-Ferguson,279,GQKS98341220080321,M,Sex 1
177,Candace Smith,Amber Henderson,280,SZVM48839602568579,F,Sex 2
178,Carolina Eastwood,Kathryn Morris,281,GXMF08220688800986,F,Sex 2
179,Natalie White,Lawrence Henderson,282,PRPP99030831321245,F,Sex 2
180,Russell Hantz,Suzanne Birch,283,GIUE42933129838068,M,Sex 1
181,Mick Trimming,Leonard Tucker,284,ROFE56409780645581,M,Sex 1
182,Brett Clouser,Dr Julie Wilson,285,QPDF50228045456960,M,Sex 1
183,Jaison Robinson,Abdul Francis-Morgan,286,VWKB81335825829100,M,Sex 1
184,Shambo Waters,Brett Holmes,287,RFEM62255277201690,F,Sex 2
185,Monica Padilla,Pauline Miah,288,GDJM53502335248187,F,Sex 2
186,Dave Ball,William Williamson,289,FPYW36546475343899,M,Sex 1
187,John Fincher,Diana Thompson,290,YOHO25579933263492,M,Sex 1
188,Laura Morett,Sally Russell,291,PUIJ19773157078290,F,Sex 2
189,Kelly Sharbaugh,Paula Gould,292,YTFH33329701921225,F,Sex 2
190,Erik Cardona,Miss Chelsea Walker,293,UHTF33163974877078,M,Sex 1
191,Liz Kim,Kenneth Smith,294,LKRP24762752617293,F,Sex 2
192,Russell Swan*,Miss Kerry Quinn,295,YIER18758575937899,M,Sex 1
193,Ashley Trainer,Miss Harriet Hall,296,APUA18604975929692,F,Sex 2
194,Yasmin Giles,Sharon Smith,297,DNIZ84497772454217,F,Sex 2
195,Ben Browning,Andrew Evans,298,UHQR43126444712097,M,Sex 1
196,Betsy Bolan,Gillian Johnson,299,FHTY47659042738784,F,Sex 2
197,Mike Borassi *,Kathryn Owen,300,YDRL11031750938326,M,Sex 1
198,Marisa Calihan,Mr Adam West,301,LTEF24156072579359,F,Sex 2
199,Tina Wesson,Lindsey Ball-Thomson,17,ZPYU40345708410783,F,Sex 2
200,Colby Donaldson,Dr Frank Parkes,18,FLPH41041482783483,M,Sex 1
201,Keith Famie,Donna Goddard,19,UPJR07398431321697,M,Sex 1
202,Elisabeth Filarski,Angela Byrne-Marshall,20,YAZA91341482611129,F,Sex 2
203,Rodger Bingham,Scott Cooper,21,EVYF02036677025594,M,Sex 1
204,Amber Brkich,Dr Jennifer Read,22,LHWW84854476163251,F,Sex 2
205,Nick Brown,Mr Dale Scott,23,ANPJ90517473776959,M,Sex 1
206,Jerri Manthey,Lynda Graham,24,DWDD77203267604690,F,Sex 2
207,Alicia Calaway,Dr Elliot Jones,25,BGDD65114851404267,F,Sex 2
208,Jeff Varner,Colin Phillips,26,ILMO74908745588365,M,Sex 1
209,Mike Skupin*,Mr Joel Hill,27,WWTV75965961416695,M,Sex 1
210,Kimmi Kappenberg,Dr Joan Williams,28,NTEK05562762153313,F,Sex 2
211,Mitchell Olson,Anne White,29,TGLK38877802728223,M,Sex 1
212,Maralyn Hershey,Miss Jessica Shaw,30,XQCJ70560937650114,F,Sex 2
213,Kel Gleason,Jay Wheeler,31,EYVH82468822001529,M,Sex 1
214,Debb Eaton,Tracey Patterson,32,DLJV68388144230080,F,Sex 2
215,Sandra Diaz-Twine,Phillip Jones,97,QOFT04722456176176,F,Sex 2
216,Parvati Shallow,Stacey Thomas,188,DRDG12020830356998,F,Sex 2
217,Jerri Manthey,Lynda Graham,24,DWDD77203267604690,F,Sex 2
218,Russell Hantz,Suzanne Birch,283,GIUE42933129838068,M,Sex 1
219,Danielle DiLorenzo,Kathryn Harrison-Hancock,168,KKBS92543625302154,F,Sex 2
220,Candice Woodcock,Molly Thorpe-Hayes,190,BXIK64211082380421,F,Sex 2
221,Boston Rob Mariano,Dorothy Stewart,58,OMKO66861483762726,M,Sex 1
222,J.T. Thomas,Billy Bradley,266,EWSL00032352532946,M,Sex 1
223,Cirie Fields,Naomi Cole,170,VOXB12697567069851,F,Sex 2
224,Colby Donaldson,Dr Frank Parkes,18,FLPH41041482783483,M,Sex 1
225,Amanda Kimmel,Stanley Hayward,224,AEQV27714303597561,F,Sex 2
226,Tyson Apostol,Amanda Goodwin,273,DNIQ75337037627640,M,Sex 1
227,Rupert Boneham,Dr Kim Kennedy,104,ZBDV18443097913181,M,Sex 1
228,Tom Westman,Mr Samuel Davis,131,QQZK07199801438080,M,Sex 1
229,James Clement,Tracey Mason,228,BUZR06608787143489,M,Sex 1
230,Coach Wade,Dr Garry Kirk,270,YIZC44441267382700,M,Sex 1
231,Stephenie LaGrossa,Christian Vaughan,137,USFM94278166857887,F,Sex 2
232,Courtney Yates,Emma Richards,223,UBOF52144321900075,F,Sex 2
233,Randy Bailey,Leon Whitehead-Taylor,255,PXWS97604035376714,M,Sex 1
234,Sugar Kiper,Leon Morgan-Chapman,250,DNWU83310590984834,F,Sex 2
235,Fabio Birza,Dr Sian Stevens,302,VSXI57375069808273,M,Sex 1
236,Chase Rice,Dr Elliott Fuller,303,VEAS74125260380660,M,Sex 1
237,Sash Lenahan,Cameron Ford,304,OQLV28001228077075,M,Sex 1
238,Holly Hoffman,Allan Jenkins,305,CGJO87263764024582,F,Sex 2
239,Dan Lembo,Christian Daly,306,KNHN47235787672293,M,Sex 1
240,Jane Hammett Bright,Ms Gail Greenwood,307,GAWO50019683475201,F,Sex 2
241,"Ben ""Benry"" Henry",Pauline James,308,VFDH90125277379544,M,Sex 1
242,Purple Kelly Shinn *,Alice Holloway,309,KARG81757027888638,F,Sex 2
243,NaOnka Mixon *,Sally Sharpe,310,OQAZ70411496293903,F,Sex 2
244,Brenda Lowe,Gareth Rogers,311,MPHB35687203714537,F,Sex 2
245,Marty Piombo,Dr Shaun Knowles,312,KCBK61784577849303,M,Sex 1
246,Alina Wilson,Gail Schofield,313,DERD39650062370649,F,Sex 2
247,Jill Behm,Linda Hughes,314,BRAS80558048495442,F,Sex 2
248,Yve Rojas,Teresa Powell,315,PEHC64644680785835,F,Sex 2
249,Kelly Bruno,Bryan Brown,316,XMVR24598037718693,F,Sex 2
250,Tyrone Davis,Keith Townsend,317,EIKG98293157878819,M,Sex 1
251,Jimmy Tarantino,Mr Colin Bradshaw,318,QPTP24995063250044,M,Sex 1
252,Jimmy Johnson,Geraldine Connor-Parker,319,IXFI99391030970245,M,Sex 1
253,Shannon Elkins,Mrs Kate North,320,SPDB05040094297168,M,Sex 1
254,Wendy Jo DeSmidt-Kohlhoff,Miss Sandra Edwards,321,ITZJ40949856926237,F,Sex 2
255,Boston Rob Mariano,Dorothy Stewart,58,OMKO66861483762726,M,Sex 1
256,Natalie Tenerelli,Anna Bennett,322,PYTG88458757721236,F,Sex 2
257,Ashley Underwood,Adam Cox,323,XEKW52448710798259,F,Sex 2
258,Matt Elrod,Stuart Williams,324,ZPTB67941784781666,M,Sex 1
259,Grant Mattos,Karl Jones,325,MJSP89325670534242,M,Sex 1
260,Mike Chiesl,Ms Rachel Bell,326,JDPF99381577344063,M,Sex 1
261,Andrea Boehlke,Scott Hughes,327,KJAB52665330047906,F,Sex 2
262,Phillip Sheppard,Dean Tucker,328,URVO66101572354319,M,Sex 1
263,Sarita White,Kelly Wilson-Harris,329,RIYC77558706965356,F,Sex 2
264,Julie Wolfe,Jemma Jones,330,EDTN50549672466257,F,Sex 2
265,Steve Wright,Kathryn Lawson,331,UGBP16182338455062,M,Sex 1
266,Ralph Kiser,Mrs Andrea Roberts,332,NPZX63259776676701,M,Sex 1
267,David Murphy,Stewart Quinn,333,ZJNV92795967168989,M,Sex 1
268,Stephanie Valencia,Max Harris-Lee,334,XQXV90715478220754,F,Sex 2
269,Krista Klumpp,Colin Allen,335,TJUH46885021151207,F,Sex 2
270,Russell Hantz,Suzanne Birch,283,GIUE42933129838068,M,Sex 1
271,Kristina Kell,Julia Powell,336,RUGB69549507488435,F,Sex 2
272,Francesca Hogi,Darren Wright,337,EQCD77663680388160,F,Sex 2
273,Coach Wade,Dr Garry Kirk,270,YIZC44441267382700,M,Sex 1
274,Sophie Clarke,Hugh Jenkins,338,BBTJ14982862698141,F,Sex 2
275,Albert Destrade,Ms Anne Moore,339,QGMC10518790650295,M,Sex 1
276,Ozzy Lusth,Eric Stone,184,DWLC46820871953365,M,Sex 1
277,Brandon Hantz,Derek Green,340,MHUA88054691741879,M,Sex 1
278,Elyse Umemoto,Mr Lee Taylor,341,OPIQ38800219451266,F,Sex 2
279,Whitney Duncan,Dr Marc Green,342,VGDU68187749925793,F,Sex 2
280,Dawn Meehan,Beverley Lewis,343,MIGZ06010280325213,F,Sex 2
281,Mikayla Wingle,Derek Smith,344,KOEA86390770203006,F,Sex 2
282,Christine Shields-Markoski,Benjamin Hussain,345,LMEV02308427415705,F,Sex 2
283,Jim Rice,Alexandra Bull,346,ITWM75362966609004,M,Sex 1
284,Keith Tollefson,Miss Melissa Harris,347,WVFO06230926248687,M,Sex 1
285,Rick Nelson,Charlotte Morrison,348,TGYB89567910099103,M,Sex 1
286,John Cochran,Geoffrey Singh,349,TQVM47720905197260,M,Sex 1
287,Edna Ma,Janet Poole,350,HBVO53080467780005,F,Sex 2
288,Papa Bear Caruso,Gerald Evans,351,YIED71098290673675,M,Sex 1
289,Stacey Powell,Jamie Miller,352,USNX43571694104779,F,Sex 2
290,Semhar Tadesse,Dr Neil White,353,NIXK40550855316812,F,Sex 2
291,Kim Spradlin,Tony Parker-Taylor,354,VHME01466469355985,F,Sex 2
292,Sabrina Robinson,Rosie Hunt,355,DYFD25421431157137,F,Sex 2
293,Chelsea Meissner,Sylvia Slater-Andrews,356,NADY14658211598166,F,Sex 2
294,Troyzan Robertson,Martyn Collier-Wright,357,IORC04990639122519,M,Sex 1
295,Jay Byars,Andrew Bishop,358,WXWN71717436674845,M,Sex 1
296,Alicia Rosa,Tom Phillips,359,POTW99004951546626,F,Sex 2
297,Kat Edorsson,Dr Mitchell Weston,360,EJJY53194968427636,F,Sex 2
298,Leif Manson,Irene Thomas-Harris,361,YRBI98085127265016,M,Sex 1
299,Colton Cumbie*,Gregory Chadwick,362,KWAL03008093856111,M,Sex 1
300,Michael Jefferson,Andrea Whitehouse,363,HNEM21070315508505,M,Sex 1
301,Jonas Otsuji,Maurice Allen,364,GYNC81927289660778,M,Sex 1
302,Tarzan Smith,Miss Diane Jones,365,LUVC56335236831020,M,Sex 1
303,Christina Cha,Leon Kirby-Wood,366,YKKI90115307503182,F,Sex 2
304,Bill Posley,Mrs Lydia Jones,367,XKJK87275070611062,M,Sex 1
305,Monica Culpepper,Heather Bailey,368,LDOJ42925813975015,F,Sex 2
306,Matt Quinlan,Lynn Bennett,369,NDIX27504507483850,M,Sex 1
307,Kourtney Moon*,Nathan Johnson,370,BYND16799244590075,F,Sex 2
308,Nina Acosta,Frederick Butcher,371,KAJP65994223917945,F,Sex 2
309,Mike Skupin,Mr Gerald Parry,27,WWTV75965961416695,M,Sex 1
310,Denise Stapley,Maria Phillips,372,LYHL51859180642230,F,Sex 2
311,Malcolm Freberg,Jonathan Payne,373,FETP48921075317737,M,Sex 1
312,Lisa Whelchel,Steven Wright,374,RPDE81052034783817,F,Sex 2
313,Carter Williams,Olivia Burrows,375,DJGX37997420012122,M,Sex 1
314,Jonathan Penner,Pamela Alexander,189,SJTY56828791775712,M,Sex 1
315,Artis Silvester,Francis Fisher,376,RYQY37767354215443,M,Sex 1
316,Jeff Kent,Neil James,377,PUAG43822142334427,M,Sex 1
317,Russ Swan,Grace Powell,295,YIER18758575937899,M,Sex 1
318,Pete Yurkowski,Dr Kevin Taylor,378,RUWL66895884471877,M,Sex 1
319,Angie Layton,Jane Davies,379,WXKM13084954380202,F,Sex 2
320,Abi-Maria Gomes,Mr Peter Vincent,380,IVBI09589008631465,F,Sex 2
321,Katie Hanson,Victoria King,381,NNSU55773369266059,F,Sex 2
322,Roxy Morris,Grace Taylor,382,BLUP52497190085803,F,Sex 2
323,RC Saint-Amour,Mr Dylan Horton,383,QLXA11949290367592,F,Sex 2
324,Dana Lambert*,Elizabeth Day-Moore,384,WBOA36924958764715,F,Sex 2
325,Sarah Dawson,Lynda Wood-Carter,385,DNXW93866887021137,F,Sex 2
326,Zane Knight,June Owen,386,UBXV78726155823867,M,Sex 1
327,John Cochran,Geoffrey Singh,349,TQVM47720905197260,M,Sex 1
328,Dawn Meehan,Beverley Lewis,343,MIGZ06010280325213,F,Sex 2
329,Brenda Lowe,Gareth Rogers,311,MPHB35687203714537,F,Sex 2
330,Erik Reichenbach*,Catherine Walters-Bates,239,FIAZ07490575256435,F,Sex 2
331,Andrea Boehlke,Scott Hughes,327,KJAB52665330047906,F,Sex 2
332,Malcolm Freberg,Jonathan Payne,373,FETP48921075317737,M,Sex 1
333,Phillip Sheppard,Dean Tucker,328,URVO66101572354319,M,Sex 1
334,Sherri Biethman,Dale Collins-Cooper,387,MAHE30426194764966,F,Sex 2
335,Corinne Kaplan,Charlie Long,254,DKZB01451962360806,F,Sex 2
336,Reynold Toepfer,Carly Davies-Kemp,388,KCCY35319361960750,M,Sex 1
337,Julia Landauer,Leah Rowley,389,LWBV44364657521455,F,Sex 2
338,Laura Alexander,Lydia Evans,390,SHDF61675791285444,F,Sex 2
339,Matt Bischoff,Mr Bradley Kelly,391,VSBK97446990398824,M,Sex 1
340,Michael Snow,Jill Palmer,392,ADVH25045905472825,M,Sex 1
341,Eddie Fox,Dr Lawrence Clayton,393,XUDL74818439264728,M,Sex 1
342,Brandon Hantz,Derek Green,340,MHUA88054691741879,M,Sex 1
